日期,情绪总和,情绪计数
2024-08-05,3.964558399648024,4
2024-08-06,0.2280409904861637,1
2024-08-09,0.9996392588532942,1
2024-08-10,1.1196373841810288,2
2024-08-11,0.091826282819031,1
2024-08-12,2.9554381557605955,3
2024-08-13,1.229785457520421,2
2024-08-15,1.9952664186193363,2
2024-08-16,0.8928880025436445,1
2024-08-17,1.353151388356601,2
2024-08-18,1.9842493925860951,2
2024-08-19,2.4878323443767134,4
2024-08-20,0.998044731945252,1
2024-08-21,0.9993586597534616,1
2024-08-22,0.9939030722163812,1
2024-08-25,1.9992496666920536,2
2024-08-26,3.3581771702512313,4
2024-08-30,0.6044035195383011,1
2024-08-31,0.9584070986552592,2
2024-09-01,0.9435799032422828,2
2024-09-02,1.427725643279366,2
2024-09-03,1.420826225453079,2
2024-09-05,0.9850130905459782,1
