book_name,author,average_rating,publish_date,publish_name,price,store_number,book_photo,detail
球状闪电,刘慈欣,9.0,2016-9,四川科学技术出版社,25.00,10,s28979072.jpg,某个离奇的雨夜，一个球状闪电闯进了少年的视野，并在一瞬间将少年的父母化为灰烬。少年毕其一生去解开那个将他变成孤儿的自然之谜。但未曾想，多年后，他的研究被纳入... 
《三体》图像小说,吴青松 编绘、刘慈欣 原著,8.6,2025-1,译林出版社,128元,10,s35048879.jpg,"【编辑推荐】
🛰 一书跃进“三体”世界，《三体》图像小说首问世。包揽9大世界级科幻奖项，全球销量超3000万册，东方科幻旗帜《三体》，被画出来了！
🛰 用最... "
趁生命气息逗留,[美] 罗杰·泽拉兹尼,7.5,2024-6,北京日报出版社,56.00元,10,s34878157.jpg,"末日之后，人类灭绝，统领半个地球的AI浮罗士德却想变成人。
它精通修辞语法，却读不懂一首最短的诗；它分析一幅画的色彩、线条、风格，却猜不透画中少女的情绪；它... "
想象海,朱岳,8.6,2024-6,北京联合出版公司,38,10,s34840615.jpg,"在极短篇幅内，展现多种可能世界
洗练的文字下，暗藏诡谲的故事与谜题
一个野生作者在独立写作道路上的全新尝试
【编辑推荐】
◇ 全新二十一篇小说，奔向中文写作... "
仿生人会梦见电子羊吗？,(美)菲利普·迪克,8.8,2013-9,译林出版社,28.00元,10,s26858994.jpg,核战后，放射尘让地球上的动物濒临灭绝，地球已不再适合人类居住。为了鼓励残存的人口移民，政府承诺，只要 移民到外 星球，就可以为每个人自动配备一个仿生人帮助其... 
醉步男,[日] 小林泰三,8.4,2019-10-1,北京时代华文书局,49.00,10,s33499480.jpg,"本书收录时间旅行小说《醉步男》+日式恐怖小说《玩具修理者》。
——————————————
血沼，我以后大概都不会和你相遇了。
话没说完，小竹田在我眼前消失... "
路边野餐,[俄] 阿卡迪·斯特鲁伽茨基、[俄] 鲍里斯·斯特鲁伽茨基,7.8,2021-6,河南文艺出版社,42.00元,10,s33918478.jpg,"【故事简介】
外星人神秘造访地球后离去，留下六个高辐射、高污染的造访区。
二十多年来，凡接触者，或皮肤剥落而死，或生下畸形怪胎。僵尸纷纷从附近的墓地中爬出，... "
其主之声,[波] 斯坦尼斯瓦夫·莱姆,8.9,2021-8,译林出版社,46.00元,10,s33925045.jpg,"📬️一封来自群星的信，折射出未知的自己。
📬️波兰科幻大师莱姆代表作之一，匈牙利名导乔治•巴勒菲同名电影原著小说。
【编辑推荐】
🌟波兰科幻大师斯坦尼斯瓦夫... "
六星纪元：盟战时代,玫瑰叔,8.4,2024-11,重庆出版社,78.00元,10,s35026085.jpg,"这是一部看完后让人热血澎湃的科幻小说，是将星际政局争斗、未来人工智能科技深度融合的科幻新文学。
☆人工智能与权力斗争的深度融合，科技赋能下的暗里藏刀。
☆人... "
十三层空间,[美] 丹尼尔·加卢耶,8.8,2017-4,四川科学技术出版社,20.00元,10,s29431183.jpg,并不遥远的未来，一家技术超前的科技公司建立了虚拟世界“幻世-3”，通过收集其中的民意数据，为商业公司提供营销策略。然而，“幻世-3”项目的核心成员道格拉斯·... 
海伯利安,[美] 丹·西蒙斯,9.1,2014-11,吉林出版集团,59.00元,10,s27537735.jpg,《海伯利安》于1989年首次出版，横扫全球所有重量级奖项——雨果奖、轨迹奖、西班牙科幻小说首奖、日本星云奖、日本雨果奖、法国宇宙奖，并入围亚瑟•克拉克奖、英... 
机器人大师,[波兰] 斯塔尼斯瓦夫·莱姆,9.0,2021-4,浙江文艺出版社,98.00元,10,s33857176.jpg,"“我们所追求的完美是我们的桎梏，因为不可预知性总会伴随着我们创造出的每一样东西！”
他们是伟大的发明家，从人格交换机到末世论改造机，无所不造。
他们不仅要一... "
维度,李易谦,9.3,2024-9,中国科学技术出版社,99.80,10,s34963338.jpg,"☆☆☆☆☆2023年度中国网络科技科幻文学扶持项目
●刘慈欣：《维度》是一部跨越时空的科幻作品，创造出一个令人震撼的宇宙图景。
○王晋康：作者以其宏大的叙事... "
童年的终结,[英] 阿瑟·克拉克,8.8,2018-9,江苏凤凰文艺出版社,42.00元,10,s29860753.jpg,"通向群星的道路上，所有生命都在走向共同的归宿。
--------------------------------
外星人突然降临地球，用压倒性的科技接管了人... "
科幻电影教父,[英] 伊恩·内森,8.4,2024-10-1,北京科学技术出版社,258,10,s34948775.jpg,"【幕后细节收录｜美学风格分析｜影人成长故事】
★科幻电影教父 ·类型片之王 雷德利·斯科特 Ridley Scott电影生涯全解析
------------... "
意识上传中,[澳] 格雷格·伊根,8.1,2022-11-18,江苏凤凰文艺出版社,56,10,s34342420.jpg,"★特德·姜推崇备至，新海诚反复致敬！
★豆瓣百万人8.5分神作《你的名字。》设定来源于本书！
★雨果奖、轨迹奖、坎贝尔纪念奖得主格雷格·伊根口碑扛鼎之作。
... "
惨败,[波] 斯坦尼斯瓦夫·莱姆,9.0,2021-8,译林出版社,58.00元,10,s33925038.jpg,"🕸️波兰科幻大师莱姆代表作之一。
🕸️对于人类高度发达的科技，宇宙的静默，似乎成了一种挑衅。
【编辑推荐】
🌟波兰科幻大师斯坦尼斯瓦夫•莱姆代表作之一：对于... "
平面国,[英] 埃德温·A.艾勃特,9.4,2024-11,四川文艺出版社,98.00元,10,s34977667.jpg,"后浪插图经典系列，名家名译名画
振聋发聩的科幻经典，维度概念的先驱之作
首版问世140周年纪念•特装珍藏版
独家收录15幅全新插图，生动还原“平面国”设定
... "
当她化身为龙,[美] 凯莉·巴恩希尔,8.6,2024-8-1,中信出版社,59.00元,10,s34917068.jpg,"每一次振翅与喷火，都是她挣脱枷锁的怒吼
【编辑推荐】
● 1955年4月25日，642 987名女性化身巨龙
● 设定大胆：“女人化龙”，魔幻现实主义设定，... "
失明症漫记,[葡] 若泽·萨拉马戈,9.1,2022-8,河南文艺出版社,66,10,s34269503.jpg,"关于《失明症漫记》，萨拉马戈说：
👓可能有人会问，为什么我毫不退缩地写出了一部如此冷酷无情的作品。我的回答如下：我活得很好，可是这个世界却不好。我的小说不过... "
