电影中文名,电影英文名,详情页链接,导演,主演,上映年份,地区,类型,评分,评分人数,简介
荒蛮故事,Relatos salvajes,https://movie.douban.com/subject/24750126/,达米安·斯兹弗隆 Damián Szifron   ,达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,478778人评价,始于荒诞，止于更荒诞。
遗愿清单,The Bucket List,https://movie.douban.com/subject/1867345/,罗伯·莱纳 Rob Reiner   ,杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险 喜剧 剧情,8.7,514038人评价,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,The Great Buddha+,https://movie.douban.com/subject/27059130/,黄信尧 Hsin-yao Huang   ,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧,8.7,527234人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
贫民窟的百万富翁,Slumdog Millionaire,https://movie.douban.com/subject/2209573/,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   ,戴夫...,2008,英国,剧情 爱情,8.6,790039人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
东邪西毒,東邪西毒,https://movie.douban.com/subject/1292328/,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,617798人评价,暂无
源代码,Source Code,https://movie.douban.com/subject/3075287/,邓肯·琼斯 Duncan Jones   ,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚,8.6,897590人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
你看起来好像很好吃,おまえうまそうだな,https://movie.douban.com/subject/4848115/,藤森雅也 Masaya Fujimori   ,山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童,8.9,361545人评价,感情不分食草或者食肉。
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,https://movie.douban.com/subject/3592854/,乔治·米勒 George Miller   ,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险,8.7,596770人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
芙蓉镇,Hibiscus Town,https://movie.douban.com/subject/1297880/,谢晋 Jin Xie   ,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 爱情,9.3,173249人评价,暂无
可可西里,Kekexili: Mountain Patrol,https://movie.douban.com/subject/1308857/,陆川 Chuan Lu   ,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪,8.9,332461人评价,坚硬的信仰。
爆裂鼓手,Whiplash,https://movie.douban.com/subject/25773932/,达米恩·查泽雷 Damien Chazelle   ,迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐,8.6,663499人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
城市之光,City Lights,https://movie.douban.com/subject/1293908/,查理·卓别林 Charles Chaplin   ,查理·卓别林 Charles Chaplin ...,1931,美国,喜剧 剧情 爱情,9.3,163994人评价,暂无
波西米亚狂想曲,Bohemian Rhapsody,https://movie.douban.com/subject/5300054/,布莱恩·辛格 Bryan Singer   ,拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐,8.6,665671人评价,暂无
花束般的恋爱,花束みたいな恋をした,https://movie.douban.com/subject/34874432/,土井裕泰 Nobuhiro Doi   ,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情,8.6,765363人评价,暂无
黑天鹅,Black Swan,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基 Darren Aronofsky   ,娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚,8.6,824913人评价,黑暗之美。
青蛇,Green Snake,https://movie.douban.com/subject/1303394/,徐克 Hark Tsui   ,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,572285人评价,暂无
爱乐之城,La La Land,https://movie.douban.com/subject/25934014/,达米恩·查泽雷 Damien Chazelle   ,瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞,8.4,1046476人评价,暂无
白日梦想家,The Secret Life of Walter Mitty,https://movie.douban.com/subject/2133323/,本·斯蒂勒 Ben Stiller   ,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险,8.6,598194人评价,暂无
哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,https://movie.douban.com/subject/2051007/,大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险,8.6,663515人评价,最忠于原著的一部。
终结者2：审判日,Terminator 2: Judgment Day,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron   ,阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,8.8,369845人评价,暂无
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,未知,2010,泰国,剧情 喜剧 爱情,8.5,1030296人评价,黑小鸭速效美白记。
雨人,Rain Man,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson   ,达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,8.7,431590人评价,暂无
人工智能,A.I. Artificial Intelligence,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg   ,海利·乔·奥斯蒙 Haley...,2001,美国 英国,剧情 科幻,8.7,484973人评价,暂无
新龙门客栈,新龍門客棧,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee   ,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,487761人评价,暂无
无耻混蛋,Inglourious Basterds,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺 Quentin Tarantino   ,布拉德·皮特 Brad Pitt / ...,2009,德国 美国,剧情 犯罪,8.7,530113人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
虎口脱险,La grande vadrouille,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury   ,路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争,8.9,283449人评价,暂无
真爱至上,Love Actually,https://movie.douban.com/subject/1292401/,理查德·柯蒂斯 Richard Curtis   ,休·格兰特 Hugh Grant / 连姆...,2003,英国 美国 法国,喜剧 剧情 爱情,8.5,787019人评价,暂无
崖上的波妞,崖の上のポニョ,https://movie.douban.com/subject/1959877/,宫崎骏 Hayao Miyazaki   ,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险,8.6,551017人评价,暂无
恋恋笔记本,The Notebook,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes   ,瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情,8.5,726126人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
罗生门,羅生門,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑,8.8,344741人评价,暂无
千钧一发,Gattaca,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol   ,伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚,8.8,332323人评价,暂无
