电影中文名,电影英文名,详情页链接,导演,主演,上映年份,地区,类型,评分,评分人数,简介
肖申克的救赎,The Shawshank Redemption,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特 Frank Darabont   ,蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情,9.7,3151058人评价,希望让人自由。
霸王别姬,再见，我的妾  /  Farewell My Concubine,https://movie.douban.com/subject/1291546/,陈凯歌 Kaige Chen   ,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2325362人评价,风华绝代。
泰坦尼克号,Titanic,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆 James Cameron   ,莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2389595人评价,失去的才是永恒的。
阿甘正传,Forrest Gump,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯 Robert Zemeckis   ,汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情,9.5,2342076人评价,一部美国近现代史。
千与千寻,千と千尋の神隠し,https://movie.douban.com/subject/1291561/,宫崎骏 Hayao Miyazaki   ,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻,9.4,2434181人评价,最好的宫崎骏，最好的久石让。
美丽人生,La vita è bella,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼 Roberto Benigni   ,罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争,9.5,1428512人评价,最美的谎言。
这个杀手不太冷,Léon,https://movie.douban.com/subject/1295644/,吕克·贝松 Luc Besson   ,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪,9.4,2473532人评价,怪蜀黍和小萝莉不得不说的故事。
星际穿越,Interstellar,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰 Christopher Nolan   ,马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,2065251人评价,爱是一种力量，让我们超越时空感知它的存在。
盗梦空间,Inception,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰 Christopher Nolan   ,莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2237916人评价,诺兰给了我们一场无法盗取的梦。
楚门的世界,The Truman Show,https://movie.douban.com/subject/1292064/,彼得·威尔 Peter Weir   ,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻,9.4,1918642人评价,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,Schindler's List,https://movie.douban.com/subject/1295124/,史蒂文·斯皮尔伯格 Steven Spielberg   ,连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争,9.5,1206153人评价,拯救一个人，就是拯救整个世界。
忠犬八公的故事,Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆 Lasse Hallström   ,理查·基尔 Richard Ger...,2009,美国 英国,剧情,9.4,1493151人评价,永远都不能忘记你所爱的人。
海上钢琴师,La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷 Giuseppe Tornatore   ,蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐,9.3,1815066人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
三傻大闹宝莱坞,3 Idiots,https://movie.douban.com/subject/3793023/,拉库马·希拉尼 Rajkumar Hirani   ,阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞,9.2,2002901人评价,英俊版憨豆，高情商版谢耳朵。
疯狂动物城,Zootopia,https://movie.douban.com/subject/25662329/,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   ,金妮弗·...,2016,美国,喜剧 动画 冒险,9.2,2150351人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
放牛班的春天,Les choristes,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂 Christophe Barratier   ,让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 音乐,9.3,1421137人评价,天籁一般的童声，是最接近上帝的存在。
机器人总动员,WALL·E,https://movie.douban.com/subject/2131459/,安德鲁·斯坦顿 Andrew Stanton   ,本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险,9.3,1428121人评价,小瓦力，大人生。
无间道,無間道,https://movie.douban.com/subject/1307914/,刘伟强 / 麦兆辉   ,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002,中国香港,剧情 犯罪 惊悚,9.3,1498418人评价,香港电影史上永不过时的杰作。
控方证人,Witness for the Prosecution,https://movie.douban.com/subject/1296141/,比利·怀尔德 Billy Wilder   ,泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑 惊悚,9.6,662768人评价,比利·怀德满分作品。
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/,刘镇伟 Jeffrey Lau   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1650812人评价,一生所爱。
熔炉,도가니,https://movie.douban.com/subject/5912992/,黄东赫 Dong-hyuk Hwang   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情,9.3,1003314人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
触不可及,Intouchables,https://movie.douban.com/subject/6786002/,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,未知,2011,法国,剧情 喜剧,9.3,1237087人评价,满满温情的高雅喜剧。
教父,The Godfather,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,马龙·白兰度 M...,1972,美国,剧情 犯罪,9.3,1058452人评价,千万不要记恨你的对手，这样会让你失去理智。
寻梦环游记,Coco,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   ,...,2017,美国,喜剧 动画 奇幻 音乐,9.1,1874552人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
当幸福来敲门,The Pursuit of Happyness,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺 Gabriele Muccino   ,威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭,9.2,1632888人评价,平民励志片。
末代皇帝,The Last Emperor,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇 Bernardo Bertolucci   ,尊龙 John Lone / 陈...,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,981777人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
龙猫,となりのトトロ,https://movie.douban.com/subject/1291560/,宫崎骏 Hayao Miyazaki   ,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险,9.2,1363585人评价,人人心中都有个龙猫，童年就永远不会消失。
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://movie.douban.com/subject/1295038/,Chris Columbus   ,Daniel Radcliffe / Emma Watson / Rupert Grint,2001,美国 英国,奇幻 冒险,9.2,1351674人评价,童话世界的开端。
怦然心动,Flipped,https://movie.douban.com/subject/3319755/,罗伯·莱纳 Rob Reiner   ,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情,9.1,1978770人评价,真正的幸福是来自内心深处。
活着,人生  /  Lifetimes,https://movie.douban.com/subject/1292365/,张艺谋 Yimou Zhang   ,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,930576人评价,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,The Dark Knight,https://movie.douban.com/subject/1851857/,克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1150492人评价,无尽的黑暗。
指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/1291552/,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,874878人评价,史诗的终章。
我不是药神,中国药神  /  印度药神,https://movie.douban.com/subject/26752088/,文牧野 Muye Wen   ,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018,中国大陆,剧情 喜剧,9,2273856人评价,对我们国家而言，这样的电影多一部是一部。
乱世佳人,Gone with the Wind,https://movie.douban.com/subject/1300267/,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   ,费...,1939,美国,剧情 历史 爱情 战争,9.3,756638人评价,Tomorrow is another day.
飞屋环游记,Up,https://movie.douban.com/subject/2129039/,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   ,爱德...,2009,美国,剧情 喜剧 动画 冒险,9.1,1440229人评价,最后那些最无聊的事情，才是最值得怀念的。
让子弹飞,让子弹飞一会儿  /  火烧云,https://movie.douban.com/subject/3742360/,姜文 Wen Jiang   ,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9,1849533人评价,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,ハウルの動く城,https://movie.douban.com/subject/1308807/,宫崎骏 Hayao Miyazaki   ,倍赏千惠子 Chieko Baishô / 木村拓...,2004,日本,爱情 动画 奇幻 冒险,9.1,1221989人评价,带着心爱的人在天空飞翔。
素媛,소원,https://movie.douban.com/subject/21937452/,李濬益 Jun-ik Lee   ,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,9.3,748013人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
十二怒汉,12 Angry Men,https://movie.douban.com/subject/1293182/,Sidney Lumet   ,亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957,美国,剧情,9.4,549813人评价,1957年的理想主义。
海蒂和爷爷,Heidi,https://movie.douban.com/subject/25958717/,阿兰·葛斯彭纳 Alain Gsponer   ,阿努克·斯特芬 Anuk Steffen /...,2015,德国 瑞士,剧情 冒险 家庭,9.3,725513人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
猫鼠游戏,Catch Me If You Can,https://movie.douban.com/subject/1305487/,史蒂文·斯皮尔伯格 Steven Spielberg   ,莱昂纳多·迪卡普里奥 L...,2002,美国 加拿大,传记 犯罪 剧情,9.1,1149068人评价,骗子大师和执著警探的你追我跑故事。
天空之城,天空の城ラピュタ,https://movie.douban.com/subject/1291583/,宫崎骏 Hayao Miyazaki   ,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 奇幻 冒险,9.2,967937人评价,对天空的追逐，永不停止。
摔跤吧！爸爸,Dangal,https://movie.douban.com/subject/26387939/,涅提·蒂瓦里 Nitesh Tiwari   ,阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 传记 运动 家庭,9,1686937人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
鬼子来了,Devils on the Doorstep,https://movie.douban.com/subject/1291858/,姜文 Wen Jiang   ,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 喜剧,9.3,685156人评价,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,Life of Pi,https://movie.douban.com/subject/1929463/,李安 Ang Lee   ,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1443988人评价,瑰丽壮观、无人能及的冒险之旅。
钢琴家,The Pianist,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基 Roman Polanski   ,艾德里安·布洛迪 Adrien Brod...,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,9.3,714882人评价,暂无
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1291572/,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,822952人评价,承前启后的史诗篇章。
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,https://movie.douban.com/subject/1299398/,刘镇伟 Jeffrey Lau   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9,1315697人评价,暂无
死亡诗社,Dead Poets Society,https://movie.douban.com/subject/1291548/,彼得·威尔 Peter Weir   ,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,9.2,827723人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
何以为家,كفرناحوم,https://movie.douban.com/subject/30170448/,娜丁·拉巴基 Nadine Labaki   ,扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1128157人评价,凝视卑弱生命，用电影改变命运。
闻香识女人,Scent of a Woman,https://movie.douban.com/subject/1298624/,马丁·布莱斯 Martin Brest   ,阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,9.1,980902人评价,暂无
绿皮书,Green Book,https://movie.douban.com/subject/27060077/,彼得·法雷里 Peter Farrelly   ,维果·莫腾森 Viggo Mortensen /...,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1812100人评价,去除成见，需要勇气。
大闹天宫,大闹天宫 上下集  /  The Monkey King,https://movie.douban.com/subject/1418019/,万籁鸣 Laiming Wan   ,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆),1964(中国大陆),1978(中国大陆),9.4,486627人评价,暂无
黑客帝国,The Matrix,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,未知,1999,美国,动作 科幻,9.1,910498人评价,暂无
罗马假日,Roman Holiday,https://movie.douban.com/subject/1293839/,威廉·惠勒 William Wyler   ,奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 剧情 爱情,9.1,1014898人评价,暂无
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,922436人评价,暂无
教父2,The Godfather: Part II,https://movie.douban.com/subject/1299131/,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1974,美国,剧情 犯罪,9.3,609215人评价,暂无
狮子王,The Lion King,https://movie.douban.com/subject/1301753/,Roger Allers / 罗伯·明可夫 Rob Minkoff   ,乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞,9.1,923493人评价,暂无
天堂电影院,Nuovo Cinema Paradiso,https://movie.douban.com/subject/1291828/,朱塞佩·托纳多雷 Giuseppe Tornatore   ,菲利普·努瓦雷 Philipp...,1988,意大利 法国,剧情 爱情,9.2,720321人评价,暂无
饮食男女,飲食男女,https://movie.douban.com/subject/1291818/,李安 Ang Lee   ,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 美国,剧情 家庭,9.2,686369人评价,暂无
辩护人,변호인,https://movie.douban.com/subject/21937445/,杨宇硕 Woo-seok Yang   ,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013,韩国,剧情,9.2,638831人评价,电影的现实意义大过电影本身。
搏击俱乐部,Fight Club,https://movie.douban.com/subject/1292000/,大卫·芬奇 David Fincher   ,爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情 动作 悬疑 惊悚,9,926430人评价,暂无
本杰明·巴顿奇事,The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,大卫·芬奇 David Fincher   ,凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情 爱情 奇幻,9,1064720人评价,在时间之河里感受溺水之苦。
美丽心灵,A Beautiful Mind,https://movie.douban.com/subject/1306029/,朗·霍华德 Ron Howard   ,罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记 剧情,9.1,828329人评价,暂无
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,https://movie.douban.com/subject/3008247/,马克·赫尔曼 Mark Herman   ,阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国 美国,剧情 战争,9.2,618638人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,Love Letter,https://movie.douban.com/subject/1292220/,岩井俊二 Shunji Iwai   ,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情 爱情,8.9,1246499人评价,暂无
窃听风暴,Das Leben der Anderen,https://movie.douban.com/subject/1900841/,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,未知,2006,德国,剧情 悬疑,9.2,612087人评价,别样人生。
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",https://movie.douban.com/subject/1293350/,盖·里奇 Guy Ritchie   ,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情 喜剧 犯罪,9.1,650169人评价,暂无
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,https://movie.douban.com/subject/3011235/,大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,美国 英国,奇幻 冒险,9,929918人评价,10年的完美句点。
音乐之声,The Sound of Music,https://movie.douban.com/subject/1294408/,罗伯特·怀斯 Robert Wise   ,朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情 传记 爱情 歌舞,9.1,657874人评价,暂无
西西里的美丽传说,Malèna,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷 Giuseppe Tornatore   ,莫妮卡·贝鲁奇 Monica ...,2000,意大利 美国,剧情 战争 情色,8.9,1057710人评价,暂无
阿凡达,Avatar,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆 James Cameron   ,萨姆·沃辛顿 Sam Worthington ...,2009,美国,动作 科幻 冒险,8.8,1524493人评价,绝对意义上的美轮美奂。
功夫,功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,周星驰 Stephen Chow   ,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,1271074人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
看不见的客人,Contratiempo,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗 Oriol Paulo   ,马里奥·卡萨斯 Mario Casas / 阿...,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1387814人评价,你以为你以为的就是你以为的。
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,https://movie.douban.com/subject/1291544/,阿方索·卡隆 Alfonso Cuarón   ,丹尼尔·雷德克里夫 Daniel Rad...,2004,英国 美国,奇幻 冒险,9,846647人评价,不一样的导演，不一样的哈利·波特。
拯救大兵瑞恩,Saving Private Ryan,https://movie.douban.com/subject/1292849/,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,1998,美国,剧情 战争,9.1,699345人评价,暂无
小鞋子,بچه های آسمان,https://movie.douban.com/subject/1303021/,马基德·马基迪 Majid Majidi   ,默罕默德·阿米尔·纳吉 Mohamma...,1997,伊朗,剧情 儿童 家庭,9.2,446547人评价,暂无
沉默的羔羊,The Silence of the Lambs,https://movie.douban.com/subject/1293544/,乔纳森·戴米 Jonathan Demme   ,朱迪·福斯特 Jodie Foster / 安...,1991,美国,剧情 犯罪 惊悚,8.9,976208人评价,暂无
飞越疯人院,One Flew Over the Cuckoo's Nest,https://movie.douban.com/subject/1292224/,米洛斯·福尔曼 Miloš Forman   ,杰克·尼科尔森 Jack Nichols...,1975,美国,剧情,9.1,585203人评价,暂无
布达佩斯大饭店,The Grand Budapest Hotel,https://movie.douban.com/subject/11525673/,韦斯·安德森 Wes Anderson   ,拉尔夫·费因斯 Ralph Fiennes / ...,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,1039647人评价,小清新的故事里注入了大历史的情怀。
蝴蝶效应,The Butterfly Effect,https://movie.douban.com/subject/1292343/,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,未知,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,1024789人评价,人的命运被自己瞬间的抉择改变。
禁闭岛,Shutter Island,https://movie.douban.com/subject/2334904/,Martin Scorsese   ,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,美国,剧情 悬疑 惊悚,8.9,1069479人评价,昔日翩翩少年，今日大腹便便。
致命魔术,The Prestige,https://movie.douban.com/subject/1780330/,克里斯托弗·诺兰 Christopher Nolan   ,休·杰克曼 Hugh Jackman...,2006,英国 美国,剧情 悬疑 惊悚,8.9,931762人评价,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手,Good Will Hunting,https://movie.douban.com/subject/1292656/,格斯·范·桑特 Gus Van Sant   ,马特·达蒙 Matt Damon / 罗宾·...,1997,美国,剧情,9,786339人评价,暂无
低俗小说,Pulp Fiction,https://movie.douban.com/subject/1291832/,昆汀·塔伦蒂诺 Quentin Tarantino   ,约翰·特拉沃尔塔 John Tra...,1994,美国,剧情 喜剧 犯罪,8.9,918703人评价,暂无
超脱,Detachment,https://movie.douban.com/subject/5322596/,托尼·凯耶 Tony Kaye   ,艾德里安·布洛迪 Adrien Brody / 马西...,2011,美国,剧情,9,687751人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与密室,Harry Potter and the Chamber of Secrets,https://movie.douban.com/subject/1296996/,Chris Columbus   ,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,英国 美国,奇幻 冒险,8.9,872257人评价,暂无
摩登时代,Modern Times,https://movie.douban.com/subject/1294371/,查理·卓别林 Charles Chaplin   ,查理·卓别林 Charles Chaplin ...,1936,美国,剧情 喜剧 爱情,9.3,331764人评价,暂无
喜剧之王,喜劇之王,https://movie.douban.com/subject/1302425/,周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,周星驰 Stephen Ch...,1999,中国香港,喜剧 剧情 爱情,8.8,1051811人评价,暂无
致命ID,Identity,https://movie.douban.com/subject/1297192/,詹姆斯·曼高德 James Mangold   ,约翰·库萨克 John Cusack / 雷...,2003,美国,剧情 悬疑 惊悚,8.9,908187人评价,暂无
杀人回忆,살인의 추억,https://movie.douban.com/subject/1300299/,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,798526人评价,暂无
春光乍泄,春光乍洩,https://movie.douban.com/subject/1292679/,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,中国香港 日本 韩国,剧情 爱情 同性,9,686058人评价,暂无
海豚湾,The Cove,https://movie.douban.com/subject/3442220/,路易·西霍尤斯 Louie Psihoyos   ,路易·西霍尤斯 Louie Psihoyo...,2009,美国,纪录片,9.3,374694人评价,海豚的微笑，是世界上最高明的伪装。
一一,Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,杨德昌 Edward Yang   ,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,中国台湾 日本,剧情 爱情 家庭,9.1,462770人评价,暂无
美国往事,Once Upon a Time in America,https://movie.douban.com/subject/1292262/,赛尔乔·莱翁内 Sergio Leone   ,罗伯特·德尼罗 Robert De Niro ...,1984,美国 意大利,犯罪 剧情,9.1,452974人评价,暂无
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://movie.douban.com/subject/1298070/,戈尔·维宾斯基 Gore Verbinski   ,约翰尼·德普 Johnny Depp / ...,2003,美国,动作 冒险 奇幻,8.8,932677人评价,暂无
红辣椒,パプリカ,https://movie.douban.com/subject/1865703/,今敏 Satoshi Kon   ,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,日本,动画 悬疑 科幻 惊悚,9,536531人评价,梦的勾结。
七宗罪,Se7en,https://movie.douban.com/subject/1292223/,大卫·芬奇 David Fincher   ,摩根·弗里曼 Morgan Freeman / 布...,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,1018011人评价,暂无
唐伯虎点秋香,唐伯虎點秋香,https://movie.douban.com/subject/1306249/,李力持 Lik-Chi Lee   ,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,中国香港,喜剧 爱情 古装,8.7,1178914人评价,暂无
狩猎,Jagten,https://movie.douban.com/subject/6985810/,托马斯·温特伯格 Thomas Vinterberg   ,麦斯·米科尔森 Mads Mik...,2012,丹麦 瑞典,剧情,9.1,444707人评价,人言可畏。
甜蜜蜜,Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,陈可辛 Peter Chan   ,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,中国香港,剧情 爱情,8.9,637619人评价,暂无
7号房的礼物,7번방의 선물,https://movie.douban.com/subject/10777687/,李焕庆 Hwan-kyeong Lee   ,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,韩国,剧情 喜剧 家庭,8.9,602927人评价,《我是山姆》的《美丽人生》。
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,784881人评价,诺兰就是保证。
寄生虫,기생충,https://movie.douban.com/subject/27010768/,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,韩国,剧情,8.8,1491101人评价,暂无
天书奇谭,天书奇谭4K纪念版  /  The Legend of Sealed Book,https://movie.douban.com/subject/1428581/,王树忱 Shuchen Wang / 钱运达 Yunda Qian   ,丁建华 Jianhua Din...,1983(中国大陆),2021,中国大陆,9.2,312251人评价,暂无
超能陆战队,Big Hero 6,https://movie.douban.com/subject/11026735/,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   ,斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险,8.8,1104980人评价,Balalala~~~
被嫌弃的松子的一生,嫌われ松子の一生,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima   ,中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,剧情 歌舞,8.8,752128人评价,以戏谑来戏谑戏谑。
爱在黎明破晓前,Before Sunrise,https://movie.douban.com/subject/1296339/,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,1995,美国 奥地利 瑞士,剧情 爱情,8.8,760937人评价,暂无
第六感,The Sixth Sense,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰 M. Night Shyamalan   ,布鲁斯·威利斯 Bruce Wi...,1999,美国,剧情 悬疑 惊悚,8.9,611500人评价,暂无
重庆森林,重慶森林,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong   ,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,剧情 爱情,8.8,888834人评价,暂无
爱在日落黄昏时,Before Sunset,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2004,美国 法国,剧情 爱情,8.9,623356人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
幽灵公主,もののけ姫,https://movie.douban.com/subject/1297359/,宫崎骏 Hayao Miyazaki   ,松田洋治 Yôji Matsuda / 石田百合...,1997,日本,动画 奇幻 冒险,8.9,571216人评价,暂无
