电影名称,导演,主演,上映时间,评分,剧情,国别
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet   ,奥黛丽·塔图 Audrey Tau...,2001 ,8.7,,法国 德国
小森林 夏秋篇,森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014 ,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,日本
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,,2010 ,8.8,和谐的生活离不开摸头与被摸头。,美国
花样年华,王家卫 Kar Wai Wong   ,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000 ,8.8,,中国香港
新世界,朴勋政 Hoon-jung Park   ,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013 ,8.9,要做就做得狠一点，这样才能活下去。,韩国
侧耳倾听,近藤喜文 Yoshifumi Kondo   ,本名阳子 Youko Honna / 小林桂树 K...,1995 ,8.9,,日本
傲慢与偏见,乔·怀特 Joe Wright   ,凯拉·奈特莉 Keira Knightley / 马修·...,2005 ,8.7,爱是摈弃傲慢与偏见之后的曙光。,法国 英国 美国
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino   ,艾米·汉莫 Armie Hammer / ...,2017 ,8.8,沉醉在电影的情感和视听氛围中无法自拔。,意大利 法国 巴西 美国
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   ,约...,2001 ,8.8,,美国
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm   ,罗夫·拉斯加德 Rolf Lassgård...,2015 ,8.9,惠及一生的美丽。,瑞典
玩具总动员3,李·昂克里奇 Lee Unkrich   ,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010 ,8.9,跨度十五年的欢乐与泪水。,美国
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1990 ,9.0,,美国
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,2004 ,8.8,有时候幸福需要等一等。 ,美国
色，戒,李安 Ang Lee   ,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007 ,8.7,假戏真情，爱欲深海,中国台湾 中国大陆 美国 中国香港
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan   ,梁正晖 Zhenghui ...,1979 ,9.2,,中国大陆
小森林 冬春篇,森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015 ,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,日本
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino   ,杰米·福克斯 Jamie Foxx /...,2012 ,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,美国
九品芝麻官,王晶 Jing Wong   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994 ,8.8,,中国香港
釜山行,延尚昊 Sang-ho Yeon   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016 ,8.6,揭露人性的丧尸题材力作。,韩国
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   ,...,2010 ,8.7,Mr. I Don't Care其实也有Care的时候。,美国 法国
萤火之森,大森贵弘 Takahiro Omori   ,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011 ,8.8,触不到的恋人。,日本
告白,中岛哲也 Tetsuya Nakashima   ,松隆子 Takako Matsu / 冈田将生 ...,2010 ,8.8,没有一人完全善，也没有一人完全恶。,日本
喜宴,李安 Ang Lee   ,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993 ,9.0,,中国台湾 美国
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg   ,泰伊·谢里丹 Tye Sheri...,2018 ,8.6,写给影迷，动漫迷和游戏迷的一封情书。,美国
玛丽和马克思,亚当·艾略特 Adam Elliot   ,托妮·科莱特 Toni Collette / 菲利...,2009 ,9.0,你是我最好的朋友，你是我唯一的朋友 。,澳大利亚 美国
模仿游戏,莫滕·泰杜姆 Morten Tyldum   ,本尼迪克特·康伯巴奇 Benedict C...,2014 ,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,英国 美国
大鱼,蒂姆·波顿 Tim Burton   ,伊万·麦克格雷格 Ewan McGregor / 阿...,2003 ,8.8,,美国
七武士,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 志村乔 ...,1954 ,9.3,,日本
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock   ,安东尼·博金斯 Antho...,1960 ,9.0,,美国
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau   ,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993 ,8.7,,中国香港
我是山姆,杰茜·尼尔森 Jessie Nelson   ,Sean Penn / Dakota Fanning / Mi...,2001 ,9.0,,美国
血战钢锯岭,梅尔·吉布森 Mel Gibson   ,安德鲁·加菲尔德 Andrew Garfield /...,2016 ,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,澳大利亚 美国
你的名字。,新海诚 Makoto Shinkai   ,神木隆之介 Ryûnosuke Kamiki / 上...,2016 ,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,日本
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang   ,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011 ,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,韩国
恐怖直播,金秉祐 Byeong-woo Kim   ,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013 ,8.7,恐怖分子的“秋菊打官司”。,韩国
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003 ,8.8,,美国
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   ,牛振华 Zhenhua N...,1994 ,9.5,,中国大陆 中国香港
电锯惊魂,詹姆斯·温 James Wan   ,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004 ,8.7,真相就在眼前。,美国
三块广告牌,马丁·麦克唐纳 Martin McDonagh   ,弗兰西斯·麦克多蒙德 France...,2017 ,8.7,怼天怼地，你走后，她与世界为敌。,英国 美国
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   ,杰米·...,2020 ,8.7,,美国
小丑,托德·菲利普斯 Todd Phillips   ,杰昆·菲尼克斯 Joaquin Phoeni...,2019 ,8.7,,美国 加拿大
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée   ,马修·麦康纳 Matthew McCon...,2013 ,8.8,Jared Leto的腿比女人还美！,美国
谍影重重3,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2007 ,8.9,像吃了苏打饼一样干脆的电影。,美国 德国 法国 英国
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,,2013 ,8.7,老少皆宜，这就是好莱坞动画的魅力。,美国
绿里奇迹,弗兰克·德拉邦特 Frank Darabont   ,汤姆·汉克斯 Tom Hanks / ...,1999 ,8.9,,美国
无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak   ,陈冠希 Edison Chen / ...,2003 ,8.8,,中国香港
爱在午夜降临前,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2013 ,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,美国 希腊
海街日记,是枝裕和 Hirokazu Koreeda   ,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015 ,8.8,是枝裕和的家庭习作。,日本
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002 ,9.0,,巴西 法国
英雄本色,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986 ,8.6,,中国香港
风之谷,宫崎骏 Hayao Miyazaki   ,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984 ,8.9,,日本
疯狂的石头,宁浩 Hao Ning   ,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006 ,8.6,中国版《两杆大烟枪》。,中国大陆 中国香港
心迷宫,忻钰坤 Yukun Xin   ,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014 ,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,中国大陆
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   ,吉恩·...,1952 ,9.1,,美国
2001太空漫游,斯坦利·库布里克 Stanley Kubrick   ,凯尔·杜拉 Keir Dullea / ...,1968 ,8.9,,英国 美国
纵横四海,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991 ,8.8,,中国香港
记忆碎片,克里斯托弗·诺兰 Christopher Nolan   ,盖·皮尔斯 Guy Pearce /...,2000 ,8.7,,美国
