职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
测试开发工程师-飞书企业应用-大数据方向,字节跳动,30k-50k,[北京·海淀区],经验3-5年 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“下午茶,健身瑜伽,六险一金,股票期权”"
资深后台开发工程师（营销工程）-JAVA大数据应用-深圳,SHEIN,30k-50k,[深圳·西丽],经验3-5年 , 本科,电商平台 ,Hive大数据开发经验HadoopSpark电商平台,“行业前景广 发展空间大 弹性工时 氛围年轻”
大数据测试开发工程师,字节跳动,25k-50k,[上海·徐汇区],经验不限 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“下午茶,健身瑜伽,六险一金,股票期权”"
大数据前端开发工程师（AI）,AfterShip,20k-35k,[深圳·南山区],经验3-5年 , 本科,软件服务,软件服务｜咨询JavaScriptWeb前端开发电商 C 端电商平台,“行业赛道 海外电商 团队氛围”
Java开发工程师(大数据平台),奇富科技,18k-28k,[深圳·车公庙],经验3-5年 , 本科,科技金融 ,MySQL科技金融后端工程师Spring,“平台大、机会优”
大数据开发工程师,美设国际物流集团股份有限公司,15k-25k,[上海·虹口区],经验3-5年 , 本科,"物流平台,物流",物流平台物流｜运输,"“五险一金,全勤奖,高温补贴”"
大数据开发工程师,美设国际物流集团股份有限公司,15k-25k,[深圳·罗湖区],经验3-5年 , 本科,"物流平台,物流",物流平台物流｜运输,"“五险一金,全勤奖,高温补贴”"
大数据架构师,施耐德电气,25k-35k,[广州·珠江新城],经验5-10年 , 本科,IT技术服务,IT技术服务｜咨询数据服务｜咨询,“深入了解业务”
Hadoop大数据开发工程师,易华录集成,13k-16k,[北京·石景山区],经验1-3年 , 本科,其他 ,软件服务｜咨询Hive大数据开发经验Kafka计算机相关专业,“牛人带队，丰富的行业技术经验”
大数据架构师,施耐德电气,25k-35k,[北京·望京],经验5-10年 , 本科,IT技术服务,软件服务｜咨询物联网,“公司平台大，业务稳定”
大数据开发工程师,广州众志诚信息科技有限公司,15k-25k,[西安·新城区],经验1-3年 , 本科,"电商平台,内容社区 ",内容社区电商平台,“发展前景佳、团队实力强、老板nice”
大数据开发工程师,青岛智力云人工智能科技有限公司,6k-9k,[青岛·市南区],经验不限 , 大专,软件服务,软件服务｜咨询数据服务｜咨询,"“五险一金,免费班车,绩效奖金”"
资深高级大数据开发工程师（深圳运营） (MJ009778),SHEIN,35k-65k,[深圳·西丽],经验3-5年 , 本科,电商平台 ,JAVA数仓建设经验Hive大数据开发经验电商平台,“电商独角兽”
高级大数据开发工程师,SHEIN,20k-40k,[深圳·西丽],经验3-5年 , 本科,电商平台 ,人工智能服务大数据开发经验电商平台,“电商独角兽 出海业务”
大数据测试开发工程师-数据平台,字节跳动,25k-45k,[北京·海淀区],经验不限 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“健身瑜伽,六险一金,团队氛围好”"
大数据开发实习生-国际支付,字节跳动,8k-9k,[北京·朝阳区],暂无,暂无,"内容资讯,短视频 ",数据挖掘,"“健身瑜伽,团队氛围好,扁平管理”"
大数据开发工程师(J13498),西域智慧供应链（上海）股份公司,12k-16k,[上海·浦东新区],经验1-3年 , 本科,制造业 ,制造业,"“五险一金,定期体检,弹性工作”"
大数据开发工程师,中科云谷科技有限公司,12k-20k,[长沙·望城区],经验3-5年 , 本科,其他 ,教育｜培训,"“绩效奖金,定期体检,方案”"
大数据与人工智能学院教师（大数据应用开发方向）,重庆工程学院,7k-10k,[重庆·巴南区],经验3-5年 , 硕士,教育,医疗｜保健｜美容,"“免费班车,五险一金,绩效奖金”"
高级大数据开发工程师,超视计科技,20k-30k,[广州·黄埔区],经验3-5年 , 硕士,医疗,营销服务｜咨询专业服务｜咨询,"“定期体检,绩效奖金,工龄奖”"
大数据开发助理（提供住宿）,成都维创利星科技有限公司,4k-6k,[成都·成华区],经验不限 , 大专,专业服务,数据分析数据仓库数据库开发科技金融数据处理,"“五险一金,员工旅游,专业培训”"
大数据开发实习生（25届校招岗）,汇川技术,8k-12k,[苏州·吴中区],经验不限 , 本科,其他 ,JAVAPL/SQL大数据开发经验居住服务工具类产品,"“五险一金,绩效奖金,定期体检”"
数据开发工程师,建信金科,25k-50k,[深圳·上沙],经验5-10年 , 本科,科技金融 ,科技金融,“最高比例五险一金、国企、薪酬有竞争力”
数据开发工程师,丽兹行,40k-45k,[北京·望京],经验3-5年 , 本科,居住服务 ,软件服务｜咨询教育｜培训大数据开发讲师,“六险一金”
数据开发工程师（2年以上）,速强信息,13k-14k,[北京·西直门],经验1-3年 , 本科,移动互联网 ,区块链科技金融,“双休”
大数据讲师,融勤教育,18k-25k,[东莞·东莞市市辖区],经验1-3年 , 大专,数据服务,暂无,“良好的发展前景”
大数据总监,北京必来屋网络科技有限公司,40k-60k,[北京·望京],经验5-10年 , 本科,金融业 ,暂无,“灵活办公，五险一金，团队氛围好”
高级安卓开发工程师,戴余科技,10k-15k,[广州·白云区],经验5-10年 , 本科,工具类产品 ,工具类产品游戏FlutterAndroidKotlin,“团队氛围好”
数据开发工程师,华泰保险,15k-25k,[北京·金融街],经验3-5年 , 本科,科技金融 ,科技金融,“行业前景好，工作氛围和谐”
测试开发工程师,华泰保险,15k-22k,[北京·德胜门],经验3-5年 , 本科,科技金融 ,自动化测试科技金融,“行业前景好，工作氛围和谐”
大模型专项-研发平台开发工程师,奇富科技,20k-35k,[深圳·车公庙],经验3-5年 , 本科,科技金融 ,JAVA分布式系统开发经验科技金融机器学习算法/工程化经验后端工程师,“平台大、项目优”
信息技术部共同资源开发处模型算法团队负责人(J19142),阳光产险,30k-50k,[北京·通州区],经验5-10年 , 本科,金融业 ,人工智能服务深度学习机器学习算法/工程化经验金融业,“平台大，管理规范，六险一金，年度团建，体检”
Java研发（测试开发方向） (MJ001556),百融云创,20k-40k,[北京·望京],经验3-5年 , 本科,"科技金融,人工智能服务 ",人工智能服务科技金融计算机/软件工程相关专业,“上市公司”
iOS开发工程师-直播技术,小红书,30k-60k,[北京·小关],经验3-5年 , 本科,"电商平台,内容社区 ",MCN｜直播平台内容社区Objective-CSwift,“发展前景好”
软件开发资深工程师（技术方向）,太平洋寿险,30k-50k,[上海·徐汇区],经验5-10年 , 本科,金融 ,JAVA科技金融,“发展前景优”
平台技术中心-Java开发工程师,美团,30k-50k,[北京·朝阳区],经验5-10年 , 本科,消费生活 ,MySQLMyBatis后端工程师Spring电商平台,“股票期权、带薪年假、晋升空间大、团队氛围好”
信息技术部共同资源开发处模型算法岗(J16882),阳光产险,20k-35k,[北京·通州区],经验3-5年 , 本科,金融业 ,金融业图像｜视频处理数据挖掘风控/反欺诈,“管理规范，六险一金，团队氛围好”
研发效能工具开发专家-研效,小红书,50k-80k,[北京·朝阳区],经验5-10年 , 本科,"电商平台,内容社区 ",JAVA架构师互联网后端工程师Python,“福利待遇好”
酷狗音乐前端开发工程师（技术）,酷狗音乐,25k-50k,[广州·天河区],经验1-3年 , 本科,音频,技能培训节日礼物年底双薪带薪年假,“大平台”
客户端开发工程师/技术专家-抖音体验分析,字节跳动,35k-50k,[北京·海淀区],经验不限 , 本科,"内容资讯,短视频 ",后端开发,"“健身瑜伽,六险一金,股票期权,带薪休假”"
Java开发工程师(A99836),雪球科技,16k-30k,[上海·临沂路],经验3-5年 , 本科,软件服务,软件服务｜咨询springcloud信息安全Redis后端工程师,“五险一金，补充商业险，绩效年终奖，年度体检”
前端开发实习生-品牌与营销技术,字节跳动,5k-8k,[北京·朝阳区],暂无,暂无,"内容资讯,短视频 ",web前端,"“团队氛围好,大牛带队,免费三餐”"
研发效能工具开发专家-研效,小红书,50k-80k,[上海·黄浦区],经验5-10年 , 本科,"电商平台,内容社区 ",JAVA架构师互联网后端工程师Python,“福利待遇好”
iOS开发工程师-直播技术组,小红书,30k-60k,[上海·黄浦区],经验3-5年 , 本科,"电商平台,内容社区 ",IT技术服务｜咨询音视频相关开发经验计算机/软件工程相关专业,“发展前景好”
后端开发实习生-基础技术,字节跳动,4k-8k,[上海·杨浦区],暂无,暂无,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,“免费三餐”
后端开发实习生-基础技术,字节跳动,4k-8k,[杭州·余杭区],暂无,暂无,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,“免费三餐”
电子系统技术开发工程师,重庆康佳光电技术研究院有限公司,9k-17k,[重庆·璧山区],经验1-3年 , 本科,医疗,医疗｜保健｜美容,"“上市公司,节日礼物,五险一金”"
研发与运维工程师（嵌入式开发）,深圳医学科学院,12k-20k,[深圳·光明区],经验3-5年 , 本科,软件服务,软件服务｜咨询springcloud信息安全Redis后端工程师,"“五险一金,绩效奖金,定期体检”"
Java开发工程师(A99836),雪球科技,16k-30k,[上海·临沂路],经验3-5年 , 本科,"电商平台,内容社区 ",内容社区电商平台,“五险一金，补充商业险，绩效年终奖，年度体检”
微信小程序或APP开发,助飞软件,6k-10k,[长沙·岳麓区],经验1-3年 , 本科,其他 ,制造业,“发展前景佳、团队实力强、老板nice”
Java开发工程师（ESb技术平台）,北京高阳金信信息技术有限公司,6k-10k,[济南·历城区],经验1-3年 , 本科,制造业 ,营销服务｜咨询专业服务｜咨询,"“五险一金,绩效奖金,定期体检”"
IT软件开发工程师,东莞宇宙,8k-9k,[东莞],经验1-3年 , 大专,专业服务,新能源汽车制造,"“五险一金,绩效奖金,包吃”"
大模型开发工程师,优仕邦咨询,30k-46k,[深圳·南山区],经验1-3年 , 硕士,新能源汽车制造 ,机器学习算法/工程化经验计算机相关专业无明显侧重,"“五险一金,年终奖金”"
应用开发经理（base肇庆）,深圳市新嘉拓自动化技术有限公司,15k-20k,[肇庆],经验5-10年 , 本科,金融业 ,区块链计算机相关专业,"“五险一金,定期体检,绩效奖金”"
区块链智能合约开发工程师,北京必来屋网络科技有限公司,30k-50k,[香港·湾仔区],经验3-5年 , 本科,金融业 ,工具类产品Android,“远程办公”
golang开发工程师（远程办公）,北京必来屋网络科技有限公司,25k-45k,[深圳·龙岗区],经验5-10年 , 本科,工具类产品 ,暂无,“远程”
后端开发实习生-基础技术,字节跳动,4k-8k,[北京·海淀区],暂无,暂无,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,“免费三餐”
IoT资源开发经理-金属结构件,字节跳动,15k-25k,[上海·杨浦区],经验不限 , 本科,"内容资讯,短视频 ",运营,“薪资优厚”
java后端开发工程师,百融云创,30k-40k,[北京·望京],经验5-10年 , 本科,"科技金融,人工智能服务 ",科技金融后端工程师Spring,“发展前景”
海外信贷业务Java开发高级工程师,信也科技,15k-30k,[上海·张江],经验1-3年 , 本科,"科技金融,人工智能服务 ",科技金融后端工程师,“发展空间大”
酷狗音乐Golang开发工程师,酷狗音乐,25k-50k,[广州·天河区],经验3-5年 , 不限,音频,技能培训节日礼物年底双薪带薪年假,“大平台”
php开发工程师（远程办公）,北京必来屋网络科技有限公司,20k-35k,[上海·黄浦区],经验5-10年 , 本科,金融业 ,科技金融计算机相关专业,“团队氛围好 发展空间大”
前端开发工程师,MATRIX TECH PTE.LTD.,20k-30k,[北京·西三旗],经验3-5年 , 本科,科技金融 ,科技金融Web前端开发电商平台,“待遇优厚，扁平管理。”
PHP开发（远程办公）,北京必来屋网络科技有限公司,20k-35k,[北京·朝阳区],经验5-10年 , 本科,金融业 ,Golang科技金融计算机相关专业,“团队氛围好 发展空间大”
react前端开发工程师,中电金信,14k-23k,[深圳·西丽],经验3-5年 , 本科,IT技术服务,金融业IT技术服务｜咨询,“六险一金+周末双休”
前端开发工程师,华风爱科,15k-20k,[北京·白石桥],经验1-3年 , 本科,工具类产品 ,软件服务｜咨询CSSHtml5JavaScriptVue,“气象大数据”
php开发工程师（TME全资子公司腾音）,腾讯音乐娱乐集团,13k-15k,[深圳·西丽],经验3-5年 , 本科,"工具类产品,内容社区,音频",GolangGOIT技术服务｜咨询,“年度体检、补充商业保险”
java后端开发工程师-效能后端,小红书,40k-60k,[上海·黄浦区],经验5-10年 , 本科,"电商平台,内容社区 ",互联网,“福利待遇好”
高级java开发工程师（酷我业务线）,腾讯音乐娱乐集团,35k-45k,[北京·朝阳门],经验5-10年 , 本科,"工具类产品,内容社区,音频",音频｜视频媒体,“优秀团队，完善福利，氛围Nice”
大数据开发工程师,数字马力,12k-18k,[郑州·管城回族区],经验3-5年 , 本科,"工具类产品,软件服务",软件服务｜咨询数仓建设经验C++IT技术服务｜咨询计算机相关专业,“周末双休、入职配备mac pro，人体工学座椅”
117120-资深开发工程师,平安科技,15k-20k,[成都·锦江区],经验5-10年 , 本科,"科技金融,人工智能服务,软件服务",金融Java,"“五险一金,带薪年假,定期体检,高温补贴”"
Java开发工程师,上海柏巨电子科技有限公司,12k-15k,[南昌·红谷滩区],经验不限 , 本科,IT技术服务,软件服务｜咨询科技金融后端工程师Spring计算机/软件工程相关专业,"“五险一金,全勤奖,绩效奖金”"
Java开发工程师,上海柏巨电子科技有限公司,12k-15k,[苏州·吴中区],经验不限 , 本科,IT技术服务,IT技术服务｜咨询,"“五险一金,全勤奖,绩效奖金”"
JAVA,京北方,10k-12k,[北京·西二旗],经验1-3年 , 本科,IT技术服务,科技金融后端工程师,“银行项目，长期稳定”
java开发工程师,京北方,12k-15k,[深圳·南山区],经验3-5年 , 本科,"电商平台,汽车交易平台 ",电商平台,“双休 五险一金 餐补 绩效奖”
java开发工程师,中电金信,18k-20k,[广州·东圃],经验5-10年 , 本科,软件服务,springcloud科技金融中大型项目架构经验后端工程师ORACLE,“大平台、大型系统”
java,北京泰斯听科技有限公...,12k-15k,[拉萨·城关区],经验不限 , 本科,营销服务,软件服务｜咨询JavaScript后端工程师SpringWeb后端开发,“1”
java高级开发工程师,赢时胜软件,20k-30k,[上海·浦东新区],经验5-10年 , 本科,IT技术服务,全栈工程师科技金融,“金融核心 股票证券 AI”
java开发工程师,深圳企域数字科技有限...,15k-25k,[深圳·南山区],经验5-10年 , 本科,软件服务,软件服务｜咨询后端工程师电商平台,“五险一金、午餐补贴、团队扁平、弹性上班”
java开发工程师,广州南天,10k-13k,[佛山·桂城],经验3-5年 , 本科,IT技术服务,全栈工程师springcloud大数据处理经验金融业IT技术服务｜咨询,“五险一金 周末双休 节日礼品 年度体检”
高级java开发工程师,领星,20k-40k,[深圳·西丽],经验5-10年 , 本科,科技金融 ,软件服务｜咨询金融业后端工程师计算机/软件工程相关专业,“团建下午茶；年度体检；双休；晋升空间大”
java开发工程师,中电金信,16k-25k,[深圳·西丽],经验3-5年 , 本科,工具类产品 ,软件服务｜咨询工具类产品后端工程师,“六险一金+项目稳定+周末双休+加班费高”
java开发工程师,汇合,13k-20k,[深圳·南山区],经验3-5年 , 本科,数据服务,全栈工程师中大型项目架构经验IT技术服务｜咨询计算机/软件工程相关专业,“六险一金 年终奖 加班费 过节费”
java开发工程师,零与壹软件,8k-15k,[杭州·拱墅区],经验不限 , 本科,软件服务,软件服务｜咨询IT技术服务｜咨询,“周末双休、年终奖、餐补”
Java开发工程师,上海柏巨电子科技有限公司,12k-15k,[南昌·红谷滩区],经验不限 , 本科,IT技术服务,物联网,"“五险一金,全勤奖,绩效奖金”"
Java开发工程师,上海柏巨电子科技有限公司,12k-15k,[苏州·吴中区],经验不限 , 本科,IT技术服务,flink银行科技金融MyBatis金融业,"“五险一金,全勤奖,绩效奖金”"
java开发工程师,京北方,14k-20k,[深圳·福田区],经验5-10年 , 本科,"电商平台,IT技术服务",软件服务｜咨询分布式系统开发经验MySQL新零售Spring,“餐补，五险一金，双休，绩效奖金”
java开发工程师,京北方,12k-20k,[北京·科技园区],经验5-10年 , 本科,IT技术服务,科技金融金融业后端工程师,“五险一金 带薪年假 完善的员工培训机制”
JAVA开发工程师,屈臣氏科技创新中心,15k-24k,[深圳·翠竹],经验5-10年 , 本科,科技金融 ,springcloudMySQL科技金融MyBatisspingboot,“良好的福利，充足的假期，轻松的办公环境”
java开发工程师,中电金信,15k-25k,[深圳·西丽],经验3-5年 , 本科,软件服务,软件服务｜咨询MySQLJavaScriptMyBatisSpring,“六险一金”
java开发工程师,汇合,12k-18k,[成都·武侯区],经验3-5年 , 本科,"生活服务,旅游",MyBatis旅游｜出行Spring电商平台,“七险一金 加班费 年终奖 季度绩效 补贴”
java开发工程师,金证睿服,13k-15k,[南京·鼓楼区],经验3-5年 , 本科,"科技金融,软件服务",保险后端,“相对稳定”
高级java开发工程师,龙腾出行,15k-25k,[广州·越秀区],经验3-5年 , 本科,IT技术服务,软件服务｜咨询中大型项目架构经验SQL Server后端工程师Spring,“季度绩效、大牛团队、培训机会多多”
java高级开发工程师,中华财险创新研发中心,20k-35k,[杭州·和睦],经验5-10年 , 本科,软件服务,IT技术服务｜咨询,“六险一金、完善的福利体制”
java开发工程师,广州南天,9k-12k,[广州·棠景],经验3-5年 , 大专,科技金融 ,科技金融IT技术服务｜咨询后端工程师Web后端开发计算机/软件工程相关专业,“双休，午休2小时，工作环境舒适，工作氛围好”
java开发工程师,金证睿服,9k-13k,[济南·历城区],经验1-3年 , 本科,人工智能服务 ,C++人工智能服务数据服务｜咨询,“长期稳定 双休”
java开发工程师,汇合,15k-30k,[杭州·江南],经验3-5年 , 本科,人工智能服务 ,软件服务｜咨询人工智能服务分布式系统开发经验MySQL机器学习算法/工程化经验,“工作日/周末/节假日如加班均有加班费。”
Java开发工程师,上海柏巨电子科技有限公司,12k-15k,[武汉·洪山区],经验不限 , 本科,IT技术服务,科技金融金融业Spring,"“五险一金,全勤奖,绩效奖金”"
Java开发工程师,上海柏巨电子科技有限公司,12k-15k,[长沙·岳麓区],经验不限 , 本科,IT技术服务,Hibernate在线教育MyBatis金融业小程序开发,"“五险一金,全勤奖,绩效奖金”"
高级java开发工程师,京北方,20k-22k,[北京·海淀区],经验5-10年 , 本科,"电商平台,汽车交易平台 ",电商平台,“五险一金、双休，”
Java开发工程师,京北方,15k-25k,[广州·东圃],经验3-5年 , 本科,IT技术服务,jvm分布式系统开发经验中大型项目架构经验旅游｜出行后端工程师,“周末双休 五险一金 环境优美 食堂”
Java开发工程师,北京泰斯听科技有限公...,12k-15k,[天津·马场道],经验不限 , 本科,数据服务,IT技术服务｜咨询后端工程师Web后端开发,“提升空间大”
高级java开发工程师,中电金信,16k-17k,[北京·朝阳区],经验3-5年 , 本科,"生活服务,旅游",生活服务JavaScriptMySQL旅游｜出行Spring,“周末双休”
java开发工程师,奇点浩翰,13k-22k,[上海·浦东新区],经验3-5年 , 本科,软件服务,软件服务｜咨询,“加班工资、六险一金、超长春节假期”
java开发工程师,龙腾出行,11k-18k,[广州·越秀区],经验1-3年 , 本科,"科技金融,软件服务",保险后端,“大牛团队，发展潜力大，提供成长通道&amp;空间”
高级java开发工程师,金蝶,25k-35k,[深圳·科技园],经验5-10年 , 本科,科技金融 ,软件服务｜咨询人工智能服务SpringORACLE,“SaaS”
java开发工程师,中华财险创新研发中心,10k-20k,[杭州·和睦],经验不限 , 本科,IT技术服务,软件服务｜咨询Hibernate人工智能服务MySQLMyBatis,“六险一金、完善的福利体制”
java开发工程师,汇合,9k-13k,[深圳·平湖],经验1-3年 , 本科,"电商平台,汽车交易平台 ",IT技术服务｜咨询Spring数据服务｜咨询ORACLE,“六险一金 过节费 餐补 交通补 住房补”
java开发工程师,融汇,18k-30k,[深圳·福田区],经验3-5年 , 本科,"电商平台,IT技术服务",顾客画像软件服务｜咨询MySQL新零售Redis,“六险一金、绩效奖金、年底奖金、周末双休”
java开发工程师,北京泰斯听科技有限公...,15k-20k,[北京·延庆区],经验不限 , 本科,软件服务,软件服务｜咨询JavaScriptMySQL后端工程师ORACLE,“13薪”
高级安卓开发工程师[广州·白云区],戴余科技,10k-15k,前端工程师[上海·曹杨],经验5-10年,本科,工具类产品,工具类产品游戏FlutterAndroidKotlin,“团队氛围好”
视频发布员[北京],WAP,23k-38k,激光工程师[株洲],经验不限,本科,软件服务,软件服务｜咨询CSSJavaScriptbabelWebpack,“外企，优秀团队，弹性工作，年10天以上带薪休假”
汽车线束工艺员[合肥·蜀山区],北京联众合创咨询服务有限公司,6k-7k,资讯工程师（外派越南）[苏州·昆山市],经验不限,不限,休闲,休闲｜娱乐,"“日结,提成,培训”"
助理电子工程师[深圳·宝安区],瑞昌中建材,6k-10k,产品经理[武汉·江夏区],经验1-3年,本科,新能源汽车制造,新能源汽车制造,"“五险一金,定期体检,绩效奖金”"
Python工程师[东莞],合肥科拿,6k-12k,通信线路工程设计师[恩施],经验1-3年,大专,网络通信,网络通信,"“社保,绩效奖金,专业培训”"
电气工程师[宁波],新至升,9k-13k,新媒体运营[西安·雁塔区],经验5-10年,大专,制造业,制造业,“发展前景佳、团队实力强、老板nice”
数据工程师[珠海·斗门区],深圳市蓝之洋科技有限公司,9k-13k,自然语言理解（大模型）实习生[北京·朝阳区],经验3-5年,大专,制造业,制造业,"“年度体检,年终奖金,带薪年假”"
视频发布员[北京],北京联众合创咨询服务有限公司,6k-7k,工程专案副理[苏州·昆山市],经验不限,不限,休闲,休闲｜娱乐,"“日结,提成,培训”"
中高级电子工程师（排插/充电头/充电器）[深圳·宝安区],新至升,15k-18k,IT软件开发工程师[东莞],经验10年以上,大专,网络通信,网络通信,“方案”
医药-即时零售品类运营[北京·朝阳区],深圳市蓝之洋科技有限公司,20k-35k,售后服务经理（六险两金+双休）[昆明·盘龙区],经验5-10年,大专,制造业,制造业,"“定期体检,方案,包住宿”"
软件开发工程师[深圳],东莞宇宙,8k-9k,应用开发经理（base肇庆）[肇庆],经验1-3年,大专,消费生活,商品,"“五险一金,绩效奖金,包吃”"
嵌入式软件工程师[广州·黄埔区],美团,15k-30k,电话客服[赣州],经验1-3年,本科,金融业,金融业,“核心岗位”
锂电池电气工程师[苏州·张家港市],中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,12k-15k,产品经理[深圳·龙华区],经验5-10年,大专,制造业,制造业,"“六险二金,周末双休,法定节假”"
国外项目经理兼翻译（柬埔寨、泰国）[昆明·官渡区],广东领铸创新设备有限公司,8k-15k,资深平面设计师[佛山·顺德区],经验不限,本科,新能源汽车制造,新能源汽车制造,“发展前景佳、团队实力强、老板nice”
视频审核专员[北京],北京联众合创咨询服务有限公司,4k-5k,嵌入式软件工程师[深圳·宝安区],经验不限,不限,休闲,休闲｜娱乐,"“日结,兼职,提成”"
下沉市场-零售策略运营专家[北京·朝阳区],深圳市蓝之洋科技有限公司,20k-35k,高级软件开发工程师[广州·黄埔区],经验5-10年,大专,网络通信,网络通信,"“绩效奖金,年终奖金,带薪年假”"
FAE工程师[深圳·龙华区],美团,25k-50k,产品经理[深圳·宝安区],经验1-3年,本科,消费生活,电商,“团队氛围佳”
谷歌运营[广州·花都区],方瞳,10k-16k,项目经理[广州·花都区],经验3-5年,本科,新能源汽车制造,新能源汽车制造,"“五险一金,方案,员工旅游”"
营运专员[潮州·潮安区],AOK,20k-30k,电子工程师[东莞·塘厦镇],经验1-3年,本科,新零售,新零售,"“五险一金,定期体检,方案”"
游戏行业运营-抖音[上海·杨浦区],王麻子,20k-30k,测试工程师（车机）[深圳·坂田],经验5-10年,本科,制造业,制造业,"“五险一金,绩效奖金,交通补贴”"
资深数据分析师（海外社交方向）[广州·天河区],星坤机械,7k-10k,数据产品经理[深圳·南山区],经验1-3年,大专,贸易,贸易｜进出口,"“五险一金,定期体检,方案”"
游戏开发总监,新竞界,50k-100k,[上海·漕河泾],经验10年以上 , 本科,游戏 ,Unity3D,“晋升空间较大”
游戏开发总监,新竞界,40k-80k,[郑州·新郑市],经验10年以上 , 本科,游戏 ,节日礼物技能培训绩效奖金岗位晋升,“晋升空间较大”
游戏开发工程师 (MJ000520),博乐科技,18k-35k,[北京·来广营],经验不限 , 本科,游戏 ,弹性工作就近租房补贴年度体检补充商保,“六险一金，三餐房补，项目奖金”
cocos creator游戏开发工程师,CMGE中手游,25k-40k,[北京·酒仙桥],经验5-10年 , 不限,游戏 ,cocos2dxcocos creator手游开发经验FairyGUI,“发展前景”
小游戏开发者运营-抖音,字节跳动,25k-40k,[深圳·南山区],经验3-5年 , 本科,"内容资讯,短视频 ",Timeline3D游戏客户端开发经验IT技术服务｜咨询Unity3D开发经验,"“健身瑜伽,六险一金,团队氛围好”"
cocos游戏开发工程师,得游互娱,11k-18k,[福州·台江区],经验5-10年 , 大专,游戏 ,年终分红股票期权年底双薪五险一金,“五险一金、带薪年假”
unity3d游戏开发工程师,大昱,10k-15k,[深圳·科技园],经验1-3年 , 大专,IT技术服务,C/C++Unity3D开发经验Python,“专业”
u3d游戏开发工程师,成都塔利亚,8k-16k,[成都·武侯区],经验1-3年 , 大专,游戏 ,Unity3D,“朝九晚六，周末双休”
cocos游戏开发,乐堂控股集团,8k-15k,[长沙·芙蓉区],经验1-3年 , 大专,游戏 ,MCN｜直播平台VR/AR开发经验Unity3D开发经验,"“五险一金,绩效奖金,餐饮补贴”"
游戏开发,北京时空立方,11k-18k,[杭州·长河],经验1-3年 , 本科,IT技术服务,批发｜零售,“绩效奖、年终奖、包餐、带薪假、节日福利”
游戏开发,好喔科技,20k-30k,[杭州·小营],经验3-5年 , 本科,游戏 ,暂无,“有实力发展”
游戏开发,量动科技,10k-15k,[成都·武侯区],经验3-5年 , 本科,其他 ,暂无,“五险一金，双休”
游戏开发,成都新大瀚人力资源管理有限公司,30k-60k,[北京·海淀区],经验3-5年 , 本科,游戏 ,暂无,“弹性工作”
unity3d游戏开发工程师,烟台鲸游,10k-20k,[烟台·牟平区],经验3-5年 , 本科,批发,暂无,“高薪诚聘”
游戏开发工程师,合肥丰实科技,25k-50k,[合肥·蜀山区],经验1-3年 , 不限,游戏 ,教育｜培训,"“绩效奖金,包吃住,行政班”"
小游戏开发,宁波市诚享科技培训有限公司,8k-16k,[宁波·鄞州区],经验不限 , 本科,教育,软件服务｜咨询JavaScriptWeb前端开发图像｜视频处理web. 3D,"“五险一金,绩效奖金,弹性工作”"
游戏开发工程师,广州市蓝添电子科技有限公司,10k-16k,[深圳·南山区],经验不限 , 大专,其他 ,Unreal EnginePython,“方案”
HTML5 3D游戏开发工程师,北京君盾装备技术有限公司,15k-20k,[北京·朝阳区],经验3-5年 , 本科,游戏 ,系统策划,“我们会重视每一个求职者”
游戏开发工程师,卡带妖怪,10k-16k,[杭州·西兴],暂无,暂无,制造业 ,批发｜零售,"“学习领先技术,福利完善,氛围好”"
抖音小游戏开发工程师,龙星科技,5k-10k,[石家庄·青园],经验1-3年 , 本科,批发,C/C++手游开发经验端游开发经验,“与行业大牛同行，用代码书写未来”
UE游戏开发,粟丰实业,10k-20k,[上海·徐汇区],经验1-3年 , 本科,游戏 ,营销服务｜咨询专业服务｜咨询,“兼职”
C++ lua游戏开发,拾风趣游,10k-15k,[重庆·冉家坝],经验3-5年 , 本科,专业服务,C#C/C++LUAUnity3D开发经验计算机/软件工程相关专业,“技术大牛 领导NICE 公司稳定”
7-游戏开发/游戏策划/游戏美术,上海临港漕河泾人才有限公司,8k-15k,[上海·徐汇区],经验1-3年 , 本科,游戏 ,手游开发经验,“发展前景佳、团队实力强、老板nice”
u3d游戏开发工程师,宇宙发条,8k-13k,[深圳·宝安区],经验1-3年 , 本科,游戏 ,医疗｜保健｜美容,“与行业大牛一起开发模拟经营游戏世界”
Laya游戏开发工程师,万界网络,8k-10k,[广州·东圃],经验1-3年 , 大专,软件服务,教育｜培训,“包三餐 研发公司 六险一金 年度体检 双休等”
cocos游戏开发工程师,禾越科技,18k-25k,[杭州·余杭区],经验3-5年 , 本科,医疗,医疗｜保健｜美容,“扁平化管理”
高级Android应用与游戏开发工程师（Google Play方向）,深圳市基石领克网络科技企业,15k-25k,[深圳·宝安区],经验3-5年 , 大专,教育,暂无,“方案”
