职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
商业化CRM数据产品经理 CRM Data Product Manager,字节跳动,30k-60k,[北京·朝阳区],经验3-5年 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“下午茶,健身瑜伽,股票期权,团队氛围好”"
数据产品经理 (MJ010542),SHEIN,20k-40k,[南京·雨花台区],经验3-5年 , 本科,电商平台 ,高级产品经理电商平台,“电商独角兽”
数据产品经理,中技数科,10k-20k,[成都·武侯区],经验5-10年 , 本科,软件服务,电商平台,“团队氛围轻松”
高级数据产品经理,达达集团,35k-45k,[北京·清源],经验5-10年 , 本科,"新零售,电商平台 ",思维导图物流平台VisioAxure,“团队氛围好，可接触各类数据产品”
数据产品经理,汇易达,16k-28k,[南京·建邺区],经验5-10年 , 本科,"科技金融,人工智能服务 ",中后台产品保险科技数据服务｜咨询,“团队氛围好 福利待遇优”
数据产品经理,生命奇点,30k-50k,[北京·国贸],经验3-5年 , 本科,数据服务,医疗｜保健｜美容资深产品经理高级产品经理,“牛人多”
数据产品经理,软澈信息,8k-12k,[武汉·西马],经验3-5年 , 本科,IT技术服务,TO B物联网电商平台,“五险一金带薪年假体检等”
数据产品经理,太极数智,18k-28k,[深圳·福田区],经验3-5年 , 本科,人工智能服务 ,人工智能服务TO GTO B数据服务｜咨询,“年终奖丰厚、六险一金、弹性工作、生日会”
数据产品经理,国牛云,6k-12k,[合肥·蜀山区],经验3-5年 , 本科,软件服务,软件服务｜咨询基础业务产品资深产品经理高级产品经理初级产品经理,“发展前景大”
数据产品经理,赛一跨境电子商务（杭州）有限公司,10k-20k,[深圳·大冲],经验1-3年 , 本科,"新零售,营销服务",电商平台,“数据分析”
数据产品经理,预策科技,20k-40k,[杭州·余杭区],经验3-5年 , 本科,数据服务,软件服务｜咨询资深产品经理产品专家TO B数据服务｜咨询,“团队实力 氛围nice”
数据平台产品经理,永辉超市,18k-30k,[福州·左海],经验3-5年 , 本科,批发,数据产品高级产品经理IT技术服务｜咨询批发｜零售,“有发展”
数据产品经理,宝尊电商,30k-50k,[成都·武侯区],经验5-10年 , 本科,营销服务,软件服务｜咨询电商平台,“上市公司”
数据产品经理,寰宇普惠,15k-19k,[厦门·思明区],经验3-5年 , 本科,IT技术服务,软件服务｜咨询科技金融数据建模产品规划TO B,“氛围佳 有发展 产品新”
鸿蒙开发工程师,凤凰网,12k-24k,[北京·望京],经验3-5年 , 本科,"内容资讯,内容社区 ",计算机/软件工程相关专业IT工程师鸿蒙系统,“客户端”
鸿蒙开发/双休,金证睿服,11k-18k,[佛山·乐从],经验3-5年 , 大专,软件服务,JAVAJavaScriptVueIT技术服务｜咨询Python,“双休 五险一金”
鸿蒙开发工程师,中电金信,11k-20k,[广州·五山],经验1-3年 , 本科,IT技术服务,科技金融iOSHarmonyOSAndroid,“六险一金”
鸿蒙开发工程师,京北方,18k-22k,[北京·万寿寺],经验3-5年 , 本科,IT技术服务,移动端HarmonyOS,“工作氛围轻松 岗位稳定”
鸿蒙开发工程师,中电金信,12k-20k,[北京·西二旗],经验1-3年 , 本科,IT技术服务,科技金融iOSHarmonyOSAndroid,“六险一金”
鸿蒙开发助理,安徽雅云晖智能科技有限公司,5k-6k,[合肥·庐阳区],经验不限 , 大专,网络通信 ,网络通信,"“五险一金,定期体检”"
鸿蒙车控SDK,上海煜麦网络科技有限公司,14k-17k,[上海·闵行区],经验5-10年 , 大专,网络通信 ,网络通信,"“五险一金,绩效奖金,弹性工作”"
